date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:24	883390/883390	---MCZ	200	added ('OK')	text/html	etag:W/%22f407c398c6341ebebae58034604942ad%22	https://www.blackgarlic.co.uk/range	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/range.html	(from https://www.blackgarlic.co.uk/)
15:02:27	901338/901338	---MCZ	200	added ('OK')	text/html	etag:W/%22c080d1352e9520918d59d068f3122ba9%22	https://www.blackgarlic.co.uk/wholesale	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/wholesale.html	(from https://www.blackgarlic.co.uk/)
15:02:28	1133191/1133191	---MCZ	200	added ('OK')	text/html	etag:W/%22727258f586b59c56b1daa73817b3f384%22	https://www.blackgarlic.co.uk/recipes-tips	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/recipes-tips.html	(from https://www.blackgarlic.co.uk/)
15:02:30	751263/751263	---MCZ	200	added ('OK')	text/html	etag:W/%2241d740a8c1cdc3e70239180322df9b99%22	https://www.blackgarlic.co.uk/meatfishmains	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/meatfishmains.html	(from https://www.blackgarlic.co.uk/)
15:02:32	796905/796905	---MCZ	200	added ('OK')	text/html	etag:W/%22d5fbbc6a4f49a75c5fa0927c95d545c9%22	https://www.blackgarlic.co.uk/veganveggiemains	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/veganveggiemains.html	(from https://www.blackgarlic.co.uk/)
15:02:35	797841/797841	---MCZ	200	added ('OK')	text/html	etag:W/%22ae0a3ef65c6a4194c52e63ada11a6f66%22	https://www.blackgarlic.co.uk/tastysides	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/tastysides.html	(from https://www.blackgarlic.co.uk/)
15:02:36	771354/771354	---MCZ	200	added ('OK')	text/html	etag:W/%2291faae8aa79e8d8008309a85d631328a%22	https://www.blackgarlic.co.uk/lightbites	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/lightbites.html	(from https://www.blackgarlic.co.uk/)
15:02:39	751506/751506	---MCZ	200	added ('OK')	text/html	etag:W/%22022a90de1d75a1b63c5d79fe58c57fc9%22	https://www.blackgarlic.co.uk/sweettreats	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/sweettreats.html	(from https://www.blackgarlic.co.uk/)
15:02:40	705796/705796	---MCZ	200	added ('OK')	text/html	etag:W/%22c61fcfa908387f341b9c633d36a687a0%22	https://www.blackgarlic.co.uk/health	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/health.html	(from https://www.blackgarlic.co.uk/)
15:02:43	971675/971675	---MCZ	200	added ('OK')	text/html	etag:W/%2291292ac7e72c924616b4adbd7da7fc15%22	https://www.blackgarlic.co.uk/blog-1	E:/NEW%20WEB/blackgarlic/www.blackgarlic.co.uk/blog-1.html	(from https://www.blackgarlic.co.uk/)
